Book title,Book Author
Best Evidence,David S. Lifton
Behold a Pale Horse,William Cooper
"The Comedians: Drunks, Thieves, Scoundrels, and the History of American Comedy",Kliph Nesteroff
Fight Club,Chuck Palahniuk
Letters from an Astrophysicist,Neil deGrasse Tyson
The Bible,
Encyclical on Climate Change and Inequality: On Care for Our Common Home,Pope Francis
1984,George Orwell
"Going Clear: Scientology, Hollywood, and the Prison of Belief",Lawrence Wright
Strong Advice: Zuby’s Guide to Fitness for Everybody,Zuby
Hacks: The Inside Story of the Break-ins and Breakdowns That Put Donald Trump in the White House,Donna Brazile
The Coddling of the American Mind: How Good Intentions and Bad Ideas Are Setting Up a Generation for Failure,Greg Lukianoff & Jonathan Haidt
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz
Blue: The Color of Noise,Steve Aoki
books ,Eddie Huang
Sapiens: A Brief History of Human Kind,Yuval Noah Harari
Homo Deus: A Brief History of Tomorrow,Yuval Noah Harari
books ,Richard Dawkins
Fantastic Voyage: Live Long Enough to Live Forever,Ray Kurzweil & Terry Grossman
The Deep History of Ourselves: The Four-Billion-Year Story of How We Got Conscious Brains,Joseph LeDoux
Anxious: Using the Brain to Understand and Treat Fear and Anxiety,Joseph LeDoux
Outliers: The Story of Success,Malcolm Gladwell
The Emotional Brain: The Mysterious Underpinnings of Emotional Life,Joseph LeDoux
The Selfish Gene,Richard Dawkins
books ,Steven Pinker
The Better Angels of Our Nature: Why Violence Has Declined,Steven Pinker
First Bite: How We Learn to Eat,Bee Wilson
Presto!: How I Made Over 100 Pounds Disappear and Other Magical Tales,Penn Jillette
Freak Kingdom: Hunter S. Thompson’s Manic Ten-Year Crusade Against American Fascism,Timothy Denevi
books ,Ernest Hemingway
Sapiens: A Brief History of Human Kind,Yuval Noah Harari
How Music Works,David Byrne
In The Penal Colony,Franz Kafka
Moby Dick,Herman Melville
Night Shift (The Lawnmower Man),Stephen King
Ready Player One,Ernest Cline
books ,Robert A. Heinlein
The L.L. Bean Game and Fish Cookbook,Angus Cameron & Judith Jones
The MeatEater Fish and Game Cookbook: Recipes and Techniques for Every Hunter and Angler,Steven Rinella
books ,Vic Dunaway
Why We Sleep: Unlocking the Power of Sleep and Dreams,"Matthew Walker, PhD"
Walden,Henry David Thoreau
Race Matters,Cornel West
books ,Sean Carroll
books ,Richard Dawkins
War in the Woods: Combating The Marijuana Cartels On America’s Public Lands,John Nores Jr. with James A. Swan
Hidden War: How Special Operations Game Wardens Are Reclaiming America’s Wildlands From The Drug Cartels,John Nores
Mein Kampf,Adolf Hitler
